,text_id,level,text
16,1_1_2,Adv,"The car, in fact, takes over all the tasks of navigation, steering, acceleration and braking. The company is building about 100 prototypes for a two-year test. The company's co-founder, Sergey Brin, told a conference in California that the vehicle was “still in the prototype stage” but that the project was “about changing the world for people who are not well served by transportation today.” He said of the car: “You're just sitting there; no steering wheel, no pedals. For me, it was very relaxing. About ten seconds after getting in, I forgot I was there. It reminded me of catching a chairlift by yourself – a bit of solitude I found really enjoyable.”"
17,1_1_2,Ele,"The company is building about 100 prototypes for a two-year test. The company's co-founder, Sergey Brin, said that the vehicle was still just a prototype. He says that they want to change the world for people who do not find it easy to use transportation today. Talking about the car, he said, “You're just sitting there; no steering wheel, no pedals. For me, it was very relaxing. About ten seconds after getting into the car, I forgot I was there. I found it really fun.”"
18,1_1_3,Adv,"Google says that the principal aim of the project is to improve safety and that, because the car is constructed with impact-absorbing foam at the front and a plastic windscreen, “it should be far safer than any other car for pedestrians”. The cars, which have been built specially by a company (as yet unnamed) in Detroit, will be used to investigate further how best to make driverless vehicles work. Google will now run a program to test the cars further, which are not yet for sale."
19,1_1_3,Ele,"Google says that the aim of the project is to improve safety. They say that the car is made with foam at the front and a plastic windscreen, so “it should be far safer than any other car for pedestrians.” The cars have been built specially by a company in Detroit. Google will now test the cars, which are not yet for sale."
20,1_1_4,Adv,"One challenge is creating high-definition scans of the roads and surroundings before the cars can drive along them because they cannot gather and process enough information in real time. So far, there are high-detail maps of about 2,000 miles of California's roads, but the state has more than 170,000 miles of public roads. Google says it is interested in licensing the technology to traditional vehicle manufacturers once it has refined it sufficiently. Members of the team had been working on the project even before joining Google, for more than a decade."
21,1_1_4,Ele,"There need to be detailed scans of the roads before the cars can drive on them, because they cannot collect and process enough information in real time. So far, there are detailed maps of about 2,000 miles of California's roads, but California has more than 170,000 miles of roads. Google says it wants to license the technology to traditional car makers when they have improved it."
23,1_1_5,Adv,"But the prospect of driverless cars replacing human-driven taxis has been the cause of some alarm. “If you get rid of the driver, then they're unemployed,” said Dennis Conyon, the south-east south-east director for the UK National Taxi Association. “It would have a major impact on the labor force.” London has about 22,000 licensed cabs and Conyon estimates that the total number of people who drive taxis for hire in the UK is about 100,000."
22,1_1_5,Ele,"But the idea that driverless cars will replace taxis with human drivers has alarmed some people. Dennis Conyon from the UK National Taxi Association said that taxi drivers will become unemployed. London has about 22,000 taxis and Conyon thinks that the total number of people who drive taxis in the UK is about 100,000."
24,1_1_6,Adv,"However, Steve McNamara, general secretary of the 10,500-strong London Taxi Drivers' Association, said: “You won't get these driverless cars in London for 20 or 25 years. Maybe, by then, they'll have a charge point – because there isn't a single one in London now.” Other car makers, including Volvo, Ford and Mercedes, are working on driver-assisted vehicles, which, unlike Google's version, do not dispense with the driver controls. But Chris Urmson, director of the self-driving car project at Google, said that the new prototypes dispensed with the steering wheel and brakes because there was no guarantee that a human occupant would be able to take over in an emergency, and that it was simpler just to have an emergency stop button."
25,1_1_6,Ele,"Other car makers, including Volvo, Ford and Mercedes, are going to make vehicles that will be different from Google's version because they will have driver controls. But Chris Urmson, director of the driverless car project at Google, said that the new prototypes do not have a steering wheel or brakes because a human passenger might not be able to take control in an emergency. He said that it was simpler just to have an emergency stop button."
27,1_1_7,Adv,"Urmson said: “The vehicles will be very basic. We want to learn from them and adapt them as quickly as possible. But they will take you where you want to go at the push of a button. And, that's an important step towards improving road safety and transforming mobility for millions of people.” So far, the Google versions of the self-driving cars have covered 700,000 miles without an accident caused by the computer. The company points out that thousands of people die each year on the roads and that about 80% of crashes can be ascribed to human error. But, they could have some way to go to match Conyon at the National Taxi Association. Aged 79, he has been driving a taxi for 50 years and claims never to have had an accident."
26,1_1_7,Ele,"Urmson said: “The vehicles will be very basic. But they will take you where you want to go at the push of a button. And, that's an important step towards improving road safety and helping millions of people travel around more easily.” So far, the Google versions of the driverless cars have driven 700,000 miles without an accident caused by the computer. The company says that thousands of people die each year on the roads and that about 80% of crashes are caused by human mistakes."
28,1_2_1,Adv,"A nasal spray laced with the ‘Love hormone' oxytocin could help children with autism learn to handle social situations better, US researchers claim. Scans of children with autistic spectrum disorder showed that a single dose of the chemical improved brain responses to facial expressions, a shift that could make social interactions feel more natural and rewarding for them. The scientists behind the research said a course of oxytocin might boost the success of behavioral therapies that are already used to help people with autism learn to cope with social situations. “Over time, what you would expect to see is more appropriate social responding, being more interested in interacting with other people, more eye contact and more conversational ability,” said Kevin Pelphrey, director of the Child Neuroscience Lab at Yale University."
29,1_2_1,Ele,"American researchers say that a nasal spray containing the ‘Love hormone' oxytocin could help children with autism behave more normally in social situations. Scans of autistic children showed that the chemical made the brain respond better to faces. This could make social interactions easier for them. The researchers said oxytocin might help other treatments that are used to help people with autism in social situations. “Over time, there would be more normal social responding. Autistic people would be more interested in interacting with other people; there would be more eye contact and more conversation,” said Kevin Pelphrey, of Yale University."
30,1_2_2,Adv,"Autism is a developmental disorder seen in more than one in 100 people. The condition affects individuals in different ways, but is characterized by difficulties in social interaction and communication. So far, there is no effective treatment for the social problems caused by autism. Researchers at Yale have studied the brain chemical oxytocin as a potential treatment for the social impairments caused by autism because it plays a crucial role in bonding and trust. Results have been mixed, though: one recent study found no significant benefit for youths given the chemical over several days. But Pelphrey said oxytocin might help the brain learn from social interactions; it would work best when used with therapies that encourage people with autism to engage more socially, he said."
31,1_2_2,Ele,"Autism is a disorder that one in 100 people have. It affects people in different ways, but causes difficulties in social interaction and communication. So far, there is no effective treatment for the social problems that autism causes. Researchers at Yale have studied the brain chemical oxytocin. They say it is a possible treatment for the social problems caused by autism because it plays an important role in bonding and trust. But not all results are positive: one recent study found no significant benefit for young people who took the chemical for several days. But Pelphrey said oxytocin might help the brain learn from social interactions; it would work best when used together with therapies that encourage people with autism to interact more socially, he said."
32,1_2_3,Adv,"“Our study shows that oxytocin affects the brain and opens up the possibility that, when combined with behavioral treatments, it works like a social enhancer,” he said. The scientists used a technique called functional MRI to scan the brains of 17 youths aged eight to 16 with autism while they looked at images of cars or the eyes of people expressing various emotions. The scans were given 45 minutes after the participants inhaled a placebo or oxytocin through a nasal spray. The scans showed that reward circuitry in the children's brains behaved more normally after a snort of oxytocin, being more active when the person was looking at faces and less active when viewing the inanimate cars. The study appears in the latest issue of the journal Proceedings of the National Academy of Sciences in the United States."
33,1_2_3,Ele,"Scientists tested 17 young people aged eight to 16 with autism. They gave them either oxytocin or a placebo through a nose spray. Then, the scientists scanned their brains while they looked at images of cars or the eyes of people expressing different emotions. The scans showed that some parts of the children's brains behaved more normally after oxytocin: they were more active when the person was looking at faces and less active when the person was looking at the cars."
34,1_2_4,Adv,"“If our study is replicated, it suggests that oxytocin might treat something for which we don't have a treatment in autism, and that's the core social motivation,” Pelphrey told the Guardian. He warned that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and cautioned against buying oxytocin from suppliers online. “We don't want them running out on the basis of this study or any other and trying oxytocin at home. There is no telling what they are buying. We are nowhere near thinking this is a ready treatment. It needs more follow-up research,” said Pelphrey. “This is an important new study in identifying changes in brain activity in key regions of the brain involved in social cognition in autism following oxytocin administration,” said Simon Baron-Cohen, director of the Autism Research Center at Cambridge University."
35,1_2_4,Ele,"“Our study suggests that oxytocin might treat basic social motivation. This is something for which we don't have a treatment in autism,” said Pelphrey. He said that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and said people should not buy oxytocin online. “We don't want them to try oxytocin at home. It is impossible to say what they are buying. This is not a treatment yet. It needs more research,” said Pelphrey. “This is an important new study,” said Simon Baron-Cohen, director of the Autism Research Center at Cambridge University."
36,1_2_5,Adv,"A surprising finding, however, is that oxytocin nasal spray did not change performance on the social cognitive task. Nor is it clear yet if oxytocin only has benefits for people with autism or has any unwanted side effects. Finally, oxytocin effects only last about 45 minutes, so there may be practical considerations as to whether this could be used as a treatment. “From a scientific perspective, this study has a lot of evidence from animal and human work to justify serious attention, but more research is needed. Doctors should be cautious about the clinical potential of this hormone until we know much more about its benefits and risks, in much larger studies,” said Simon Baron-Cohen."
37,1_2_5,Ele,"But, the scientists were surprised to find that oxytocin did not help the children in social recognition tasks. It is also not known yet if oxytocin only has benefits for people with autism or has any bad side effects. Finally, oxytocin effects only last about 45 minutes, so it might be difficult to use it as a treatment. “This study has a lot of evidence from animal and human work to show that oxytocin helps, but we need more research,” said Simon Baron-Cohen."
38,1_2_6,Adv,"Uta Frith, who studies autism at University College London, said: “According to this study, oxytocin may have the effect of making faces more interesting as assessed by greater activity in brain structures concerned with reward evaluation. Disappointingly, this effect is seen only in brain activity and not in behavior. Demonstrating an effect on behavior will be critical if nasal spray treatment is to be of any value.”"
39,1_2_6,Ele,"Uta Frith, who studies autism at University College London, said: “According to this study, oxytocin may make faces more interesting. Disappointingly, this effect is seen only in brain activity and not in behavior.” She said that, if we want oxytocin to become a useful treatment for autism, we need to show that is has an effect on behavior."
41,1_3_1,Adv,"They call him the Robin Hood of the banks, a man who took out dozens of loans, worth almost half a million euros, with no intention of ever paying them back. Instead, Enric Duran handed the money out to projects that created and promoted alternatives to capitalism. After 14 months in hiding, Duran is unapologetic, even though his activities could land him in jail. “I'm proud of what I did,” he said in an interview by Skype from an undisclosed location."
40,1_3_1,Ele,"They call him the Robin Hood of the banks. He is a man who took out loans for almost half a million euros and never paid the money back. Enric Duran gave the money to projects that created and supported alternatives to capitalism. Duran has spent 14 months in hiding. He will not say he is sorry, even though he might go to prison for what he has done. “I'm proud of what I've done,” he said in an interview by Skype from a secret location."
43,1_3_2,Adv,"From 2006 to 2008, Duran took out 68 commercial and personal loans from 39 banks in Spain. He farmed the money out to social activists, funding speaking tours against capitalism and TV cameras for a media network. “I saw that, on one side, these social movements were building alternatives but that they lacked resources and communication capacities,” he said. “Meanwhile, our economy was perpetually growing, which lead to a system that created money out of nothing.”"
42,1_3_2,Ele,"From 2006 to 2008, Duran took out 68 loans from 39 banks in Spain. He gave the money to social activists. They used the money to pay for speaking tours against capitalism and TV cameras for a media network. He said that these social activists didn't have enough money. At the same time, he said, the economy was constantly growing, which created money from nothing."
44,1_3_3,Adv,"The loans Duran swindled from banks were his way of regulating and denouncing this situation, he said. He started slowly. “I filled out a few credit applications with my real details. They denied me, but I just wanted to get a feel for what they were asking for.” From there, the former table-tennis coach began to weave an intricate web of accounts, payments and transfers. “I was learning constantly.” By the summer of 2007, he had discovered how to make the system work, applying for loans under the name of a false television production company. “Then, I managed to get a lot.” €492,000, to be exact."
45,1_3_3,Ele,"The loans Duran took out dishonestly from banks were his way of showing that this situation was wrong, he said. He started slowly. He tried to take out a few bank loans using his real details. The banks said no. Then, he learned how to get money from the banks. “I was learning all the time.” By the summer of 2007, he learned how to make the system work – he took out loans under the name of a false television production company. This way, he got a lot of money. €492,000, to be exact."
46,1_3_4,Adv,"Duran was arrested in Spain in 2009, on charges brought against him by six of the 39 banks that had lent him money. He spent two months in prison before being bailed for €50,000. In February 2013, facing up to eight years in prison, he decided to flee rather than stand trial. “I don't see legitimacy in a judicial system based on authority, because I don't recognize its authority,” he said. His actions, he said, were in the vanguard of a worldwide debate on the economic crisis. The timing pushed the anti-capitalist movement into the light, just as many Spaniards were seeking alternatives to a system that had wreaked havoc on their lives."
47,1_3_4,Ele,"Duran was arrested in Spain in 2009. He spent two months in prison; then, they let him out on €50,000 bail. In February 2013, with the possibility of up to eight years in prison, he decided to run away. His actions in 2006 to 2008 made many people notice the anti-capitalist movement for the first time. This happened at a time when many Spanish people were looking for alternatives to a system that has caused problems in their lives."
48,1_3_5,Adv,"While the same actions would probably be better understood in today's Spain, he said that they would not be needed. The anti-capitalist movement has grown from a fringe movement to one supported by thousands of Spaniards, he said, evidenced by the widely supported movements such as the Indignados. Duran is widening his focus to include Spain's justice system, by promoting restorative justice. “The people in Spain who believe that banks don't work, they think that I don't owe anything. I also think that,” he said. “But there is a part of a population that is not in agreement with us and I think I should respond to that.” In his case, he said, the element of reciprocity he could offer to banks might lie in the insight he gleaned from years of obtaining bank loans fraudulently. He could share his thoughts on “which best practices work and the bad ones that don't, for the general population and for bank workers”."
49,1_3_5,Ele,"In today's Spain, thousands of people support the anti-capitalist movement and groups such as the Indignados. Duran says he does not want to give back the money to the banks but he can offer them something. He learned a lot in the years when he was taking loans out dishonestly, so he can show the banks how they can improve things for people in general and for bank workers."
50,1_4_1,Adv,"How far away are we from a world where drones deliver packages? If Amazon is to be believed, not far at all. Others are not so sure: technical progress past this point isn't merely a matter of invention; it's a matter of public safety. Paul Misener, Amazon's vice-president of global public policy, told a congressional hearing recently that his company would be ready as soon as all the rules were in place. The Federal Aviation Authority (FAA) will finally have regulations governing the commercial use of unmanned aircraft by June 2016. But the technology has a long way to go before then and larger machines aren't airway-legal at all yet – only drones up to 25kg will be covered and the FAA points out in the proposed rules that, if you're going to crowd the skies with radio-controlled flying robots, they had better all be using different radio frequencies that nobody can jam or hijack."
51,1_4_1,Ele,"One day, drones could deliver packages to your home. When will this happen? If you believe Amazon, it will be soon. Other people are not so sure. They have to invent the right technology but, also, they have to consider public safety. Amazon says that they will be ready as soon as the Federal Aviation Authority (FAA) introduce rules for using drones. The FAA will finally introduce rules for using unmanned aircraft by June 2016. But the technology has a long way to go before then and larger machines aren't legal yet – only drones up to 25kg will be legal. And the FAA says in the rules they want to introduce that drones will all have to use different radio frequencies that nobody can block or hijack."
52,1_4_2,Adv,"Professor Sanjiv Singh, who runs a cargo delivery company called NearEarth, said that piloting a state-of-the-art drone was a little more like leaving it a trail of breadcrumbs: go to this altitude, perform this short task, go back home. But even short flights from a mobile landing pad pose serious logistical problems, he said. “They're not proposing to deliver from one uninhabited place to another uninhabited place; they're proposing to deliver from a warehouse to where the consumer is, which is likely an urban area,” he said. “There are going to be hazards along the way that the vehicle is going to have to detect. Maybe there will be terrain that the map doesn't know about. Even then, maybe there's construction equipment that wasn't there but is there now. Maybe GPS signals are blocked, in which case it's going to have an incorrect idea about where it is.” All this is surmountable, he said – but it's difficult."
53,1_4_2,Ele,"Professor Sanjiv Singh, who works for delivery company NearEarth, said that flying drones is quite simple – you just give it some basic instructions: go to this height, do this short task, go back home. But even short flights from a mobile landing place could cause serious problems, he said. “They're not planning to deliver in areas where nobody lives; they're planning to deliver from a warehouse to the consumer, which will probably be in a town or city,” he said. “The drone will have to see hazards. Maybe there will be things that the map doesn't know about. Maybe there will be construction equipment that wasn't there but is there now. Maybe GPS signals will be blocked so it's going to have an incorrect idea about where it is.” All this can be solved, he said – but it's difficult."
55,1_4_3,Adv,"One major problem is maintaining radio contact with a drone and planning for what happens if that contact breaks. “If you have an off-the-shelf UAV (unmanned aerial vehicle), it'll just keep going and crash into the ground,” said roboticist Daniel Huber. “Technologically, most of the things that are needed for this are in place,” said Huber. He is working on a program that proposes using drones to inspect infrastructure – pipelines, telephone lines, bridges and so on. “We've developed an exploration algorithm where you draw a box around an area and it'll autonomously fly around that area and look at every surface and then report back.”"
54,1_4_3,Ele,"One big problem is keeping radio contact with a drone and planning for what happens if that contact breaks. ”If a drone loses radio contact, it will keep going and crash into the ground,” said robot expert Daniel Huber. “We already have most of the technology we need,” said Huber. He is working on a program that will use drones to check telephone lines, bridges and so on. “We can make drones fly around a certain area and look at every surface.”"
56,1_4_4,Adv,"Huber said about Amazon: “I have heard them say that many packages are lightweight – a drone can carry a kilogram for 15 minutes. If you have a vehicle that can go into a neighborhood, it can deliver from that base. You need a 15-minute distance and typical off-the-shelf drones have about that distance.” It's one way, he said, of making sure the surrounding population is relatively safe. “The larger the distance the drone travels, the more dangerous it becomes.” Of course, safety remains a major concern – Singh points out that, for a commercial aircraft to be considered skyworthy, it has to prove a rate of one serious failure every one million hours. Drones, he said, are “one or two orders of magnitude away” from that benchmark. “The Reaper drone has one failure in 10,000 hours,” Singh said. An oil leak, by the way, doesn't count as catastrophic failure – something has to fall out of the sky."
57,1_4_4,Ele,"Huber said about Amazon: “They say that many packages are light – a drone can carry a kilogram for 15 minutes. If you have a vehicle that can go into a neighborhood, it can deliver from that vehicle. You need a 15-minute distance, and typical drones have about that distance.” It's one way, he said, to make sure people are safe. “The larger the distance, the more dangerous it becomes.” Of course, safety is still a big worry – Singh points out that for a passenger airplane to be allowed to fly, it can only have one serious failure every one million hours. Drones, he said, are much less safe. “The Reaper drone, for example, has one failure in 10,000 hours,” Singh said."
59,1_4_5,Adv,"Part of this is simply that air travel is inherently dangerous and, thus, standards are much higher. “If you fly commercial airlines, often they'll say, 'Oh, a small component has failed – we have to go back to the gate,'” Singh said. “And that's an established industry with 60 years of legacy! I shudder to think that one of these things might come down on a crowded highway.” Part of the solution, Singh said, is comprehensive contingency planning: “If things fail, the vehicle has to do something reasonable.”"
58,1_4_5,Ele,"Part of the reason for this is simply that air travel is dangerous so standards are much higher. “If you fly a passenger airplane, often they will say, ‘Oh, a small part isn't working; we have to go back,'” Singh said. “And people have been flying passenger airplanes for 60 years! I hate to think that a drone might come down on a busy road.” Part of the solution, Singh said, is planning for every situation: “If things fail, the drone has to do something sensible.”"
60,1_5_1,Adv,"Illegal downloading is a kind of “moral squalor” and theft, as much as reaching in to someone's pocket and stealing their wallet is theft, says author Philip Pullman. In an article for Index on Censorship, Pullman, who is president of the Society of Authors, makes a robust defence of copyright laws. He is highly critical of Internet users who think it is OK to download music or books without paying for them."
61,1_5_1,Ele,"Illegal downloading is morally wrong, and it is theft, the same as how putting your hand in someone's pocket and stealing their wallet is theft, says author Philip Pullman. In an article for the magazine Index on Censorship, Pullman, who is president of the Society of Authors, strongly defends copyright laws. He criticizes Internet users who think it is OK to download music or books without paying for them."
63,1_5_2,Adv,"“The technical brilliance is so dazzling that people can't see the moral squalor of what they're doing,” he writes. “It is outrageous that anyone can steal an artist's work and get away with it. It is theft, as surely as reaching into someone's pocket and taking their wallet is theft.” His article comes after music industry leaders met British Prime Minister David Cameron in Downing Street, where the issue of web piracy was discussed. Pullman, writer of the His Dark Materials trilogy, says authors and musicians work in poverty and obscurity for years to bring their work to the level “that gives delight to their audiences and, as soon as they achieve that, the possibility of making a living from it is taken away from them”. He concludes: “The principle is simple, and unaltered by technology, science or magic: if we want to enjoy the work that someone does, we should pay for it.”"
62,1_5_2,Ele,"“The technology is so dazzling that people can't see that what they're doing is morally wrong,” he writes. “It is outrageous that anyone can steal an artist's work without punishment. It is theft, just as putting your hand in someone's pocket and taking their wallet is theft.” His article comes after music industry leaders met British Prime Minister David Cameron in Downing Street to discuss the issue of web piracy. Pullman, writer of the His Dark Materials trilogy, says authors and musicians work in poverty for years to bring their work to the level “that gives happiness to their audiences and, when they achieve that, the possibility of making money from it is taken away from them”. He concludes: “If we want to enjoy the work that someone does, we should pay for it.”"
64,1_5_3,Adv,"Pullman is writing in the next issue of the campaign group's magazine in a dialogue with Cathy Casserly, chief executive of Creative Commons, which offers open content licenses “that lets creators take copyright into their own hands”. Casserly argues that there is much wrong with copyright, which was created “in an analog age”. Casserly writes: “By default, copyright closes the door on countless ways that people can share, build upon and remix each other's work, possibilities that were unimaginable when those laws were established.” She says artists need to think creatively about how they distribute and monetize their work, quoting the science fiction writer Cory Doctorow, who said: “My problem is not piracy, it's obscurity.”"
65,1_5_3,Ele,"Pullman is writing in the next issue of the campaign group's magazine in a dialogue with Cathy Casserly, chief executive of Creative Commons. Casserly argues that there is a lot wrong with copyright, which was created a long time ago. Casserly writes: “Copyright closes the door on the many ways that people can share, build upon and remix each other's work, possibilities that we could not imagine when those laws were made.” She says artists need to think creatively about how they earn money from their work."
67,1_5_4,Adv,"Index on Censorship agrees. The magazine's editor, Rachael Jolley, said: “Existing copyright laws don't work in the digital age and risk criminalizing consumers. We need new models for how artists, writers and musicians earn a living from their work.” The scale of illegal downloading vast. Data collected by Ofcom (the competition authority for the UK communications industries) suggests that, between November 2012 and January 2013 in the UK, 280 million music tracks were digitally pirated, along with 52 million TV shows, 29 million films, 18 million ebooks and 7 million software or games files. Ofcom has said 18% of Internet users aged over 12 admit to having recently pirated content, and 9% say they fear getting caught. Pullman writes in his article: “The ease and swiftness with which music can be acquired in the form of MP3 downloads is still astonishing to those of us who have been building up our iTunes list for some time.”"
66,1_5_4,Ele,"Index on Censorship agrees. The magazine's editor, Rachael Jolley, said: “Illegal downloading is a very big problem.” Between November 2012 and January 2013 in the UK, 280 million music tracks were digitally pirated along with 52 million TV shows, 29 million films, 18 million ebooks and 7 million software or games files. 18% of Internet users aged over 12 say they have pirated items, and 9% say they are afraid they will get caught. Pullman writes in his article: “The ease and speed with which people can get music in MP3 is still very surprising to people like me who have been building up their iTunes list for some time.”"
68,1_5_5,Adv,"One thing to emerge from the Downing Street meeting was Cameron's appointment of the Conservative Member of Parliament Mike Weatherley to be his adviser on the subject. A spokesman for the BPI, the record industry trade body, said: “Mike Weatherley is a strong champion of copyright and the artists and creative producers it's there to protect. We hope Weatherley's influence and the prime minister's endorsement of copyright will be brought to bear on the approach of the UK's intellectual property office.”"
69,1_5_5,Ele,"After the Downing Street meeting, Cameron asked the Conservative member of parliament Mike Weatherley to be his adviser on the subject. The BPI, an organization that supports music companies, said: “Mike Weatherley is a strong supporter of copyright and the artists and creative producers it's there to protect. We hope Weatherley's influence and the prime minister's support for copyright will change what the government does about illegal downloading in the UK.”"
